순,이름,팀,WAR,WPA,Salary,SALARY
9,이용찬,두산,3.87,0.45,23500,3
12,최원태,넥센,3.66,0.77,15000,3
13,노경은,롯데,3.39,0.27,10000,3
14,박종훈,SK,3.35,-0.38,20000,3
17,함덕주,두산,2.94,1.58,16000,3
21,한현희,넥센,2.84,-1.36,23000,3
23,이재학,NC,2.64,-1.06,19000,3
27,김윤동,KIA,2.37,-0.97,15000,3
28,백정현,삼성,2.31,-0.87,15500,3
34,베렛,NC,2.19,-2.29,10000,3
38,심창민,삼성,1.86,1.28,23000,3
40,고영표,KT,1.74,-2,11500,3
43,신재웅,SK,1.68,-0.38,11000,3
53,김재윤,KT,1.36,-0.37,11000,3
55,김승회,두산,1.21,-0.58,10000,3
59,권오준,삼성,1.06,-0.11,15000,3
60,김강률,두산,1.03,1.51,15000,3
63,김상수,넥센,0.99,-0.39,16500,3
67,이보근,넥센,0.92,-0.73,14000,3
68,원종현,NC,0.88,-1.21,18500,3
71,박희수,SK,0.83,-0.95,18500,3
77,윤희상,SK,0.71,-0.22,13000,3
90,이상화,KT,0.53,-0.41,10000,3
101,임기영,기아,0.39,-1.61,13000,3
103,임찬규,LG,0.37,-2.78,11500,3
113,김사율,KT,0.32,-0.87,15000,3
115,조상우,넥센,0.28,-0.8,12000,3
117,박정배,SK,0.26,-2.4,14000,3
124,송창식,한화,0.18,0,24000,3
125,장원삼,삼성,0.17,-0.43,20000,3
127,윤규진,한화,0.16,-1.53,21000,3
132,이민호,NC,0.15,-1.93,18800,3
134,오주원,넥센,0.15,-1.21,15000,3
136,배장호,롯데,0.14,-1.04,13000,3
148,이명우,롯데,0.05,-0.9,10500,3
150,심동섭,기아,0.04,-0.48,13000,3
154,임정우,LG,0.04,-0.02,14000,3
165,신정락,LG,0.01,-1.13,10500,3
193,임창민,NC,-0.09,-1.14,25000,3
195,홍성민,롯데,-0.09,-0.06,12000,3
209,고효준,롯데,-0.14,-0.59,10000,3
217,심수창,한화,-0.2,-0.46,20000,3
221,김세현,기아,-0.23,-2.12,29000,3
226,김진성,NC,-0.26,-0.76,23000,3
233,최금강,NC,-0.33,-0.79,12500,3
234,박진형,롯데,-0.33,-1.4,10500,3
236,신재영,넥센,-0.35,-2.3,14000,3
249,진해수,LG,-0.5,-1.46,19000,3
257,박세웅,롯데,-1.21,-2.21,25000,3
257,박세웅,롯데,-1.21,-2.21,25000,3
5,전준우,롯데,5.67,5.45,27000,3
12,채은성,LG,4.72,3.44,11000,3
13,최주환,두산,4.68,3.9,20000,3
21,이정후,넥센,3.71,2.9,11000,3
22,유강남,LG,3.67,-0.62,18500,3
23,허경민,두산,3.59,1.89,26500,3
24,한동민,SK,3.53,4.03,15000,3
34,이형종,LG,3.05,2.16,10500,3
35,노수광,SK,3.01,3.46,13000,3
38,오지환,LG,2.82,2.62,29000,3
41,박경수,KT,2.54,1.52,23000,3
46,김선빈,기아,2.11,1.23,28000,3
52,이성열,한화,1.87,3.15,25000,3
59,송광민,한화,1.57,1.16,24000,3
66,양석환,LG,1.36,0.37,16000,3
67,이명기,기아,1.36,0.16,25000,3
69,박세혁,두산,1.27,-0.66,10000,3
71,정수빈,두산,1.07,0.89,28000,3
73,김성욱,NC,1.04,0.42,10500,3
77,모창민,NC,0.94,1.7,18500,3
78,정훈,롯데,0.91,-0.31,10000,3
79,권희동,NC,0.91,1.78,13000,3
81,채태인,롯데,0.9,1.62,20000,3
83,김민식,기아,0.84,-0.92,15000,3
87,김성현,SK,0.76,-0.24,25000,3
89,정성훈,기아,0.7,-0.32,10000,3
99,문규현,롯데,0.48,-1.41,18000,3
103,박동원,넥센,0.38,-0.29,18000,3
114,하주석,한화,0.26,-1.46,12000,3
154,김문호,롯데,-0.03,0.44,15000,3
169,김동엽,SK,-0.06,0.16,11500,3
190,양성우,한화,-0.12,-0.19,10000,3
199,강한울,삼성,-0.28,-1.19,15500,3
210,배영섭,삼성,-0.28,-0.35,13000,3
220,서동욱,기아,-0.23,-0.44,18500,3
231,김대우,삼성,-0.44,-1.1,12000,3
236,고종욱,넥센,-0.33,1.03,11000,3
246,최진행,한화,-0.39,-0.26,19000,3
257,지석훈,NC,-0.64,-0.1,15000,3
259,손주인,삼성,-0.7,-1.49,18000,3
262,이종욱,NC,-0.71,-0.21,20000,3
265,박기혁,KT,-0.79,-1.86,15000,3
16,샘슨,한화,2.94,-0.7,40000,4
18,송은범,한화,2.93,0.7,45000,4
50,휠러,한화,1.41,-1.07,47500,4
91,채병용,SK,0.51,-0.05,30000,4
92,안영명,한화,0.5,0.53,35000,4
109,이현승,두산,0.35,0.02,40000,4
110,송승준,롯데,0.34,-2.06,40000,4
120,권혁,한화,0.22,-0.19,45000,4
1,김재환,두산,6.96,5.8,47000,4
8,안치홍,기아,4.99,4.06,32000,4
15,나성범,NC,4.5,4.73,43000,4
16,이재원,SK,4.2,2.1,35000,4
20,호잉,한화,3.72,4.72,40000,4
26,김하성,넥센,3.52,1.01,32000,4
29,박건우,두산,3.44,3.97,37000,4
36,박민우,NC,2.92,0.96,32000,4
37,오재일,두산,2.86,1.22,30000,4
39,김주찬,기아,2.76,2.43,40000,4
53,이용규,한화,1.84,-0.72,40000,4
54,김민성,넥센,1.72,-0.78,35000,4
75,나주환,SK,0.98,0.65,30000,4
85,윤석민,KT,0.77,0.31,31000,4
91,서건창,넥센,0.65,1.21,38000,4
96,이진영,KT,0.51,1.46,40000,4
113,정의윤,SK,0.26,0.14,30000,4
208,박정권,SK,-0.18,-0.11,40000,4
225,조동찬,삼성,-0.3,-0.57,40000,4
3,브리검,넥센,5.78,0.2,65000,5
7,니퍼트,KT,4.66,-0.06,50000,5
31,왕웨이중,NC,2.25,-0.52,50000,5
46,임창용,기아,1.54,-0.99,50000,5
85,윤길현,롯데,0.62,-0.34,50000,5
179,배영수,한화,-0.04,-0.61,50000,5
247,이동현,LG,-0.47,-0.34,60000,5
251,유희관,두산,-0.57,-2.73,50000,5
251,유희관,두산,-0.57,-2.73,50000,5
3,양의지,두산,6.44,3.91,60000,5
11,로맥,SK,4.77,3.95,50000,5
19,김재호,두산,3.81,1.69,65000,5
27,유한준,KT,3.52,2.84,60000,5
31,오재원,두산,3.3,4.07,55000,5
43,나지완,기아,2.36,0.9,60000,5
44,이범호,기아,2.24,1.03,65000,5
55,김강민,SK,1.7,-0.02,60000,5
68,이택근,넥센,1.27,1.04,50000,5
70,초이스,넥센,1.17,0.78,60000,5
162,정상호,LG,-0.05,-1.22,50000,5
204,손시헌,NC,-0.16,-0.22,50000,5
2,윌슨,LG,6.27,2.72,80000,6
8,후랭코프,두산,4.07,1.18,70000,6
11,피어밴드,KT,3.71,-1.28,85000,6
22,아델만,삼성,2.77,-1.15,95000,6
29,듀브론트,롯데,2.31,-1.66,90000,6
32,손승락,롯데,2.24,0.69,70000,6
37,산체스,SK,1.86,-1.34,85000,6
41,보니야,삼성,1.73,-1.92,70000,6
52,우규민,삼성,1.39,-0.22,70000,6
78,팻딘,기아,0.7,-2.78,70000,6
4,로하스,KT,5.7,5.41,80000,6
14,버나디나,기아,4.55,3.55,75000,6
40,번즈,롯데,2.67,0.17,73000,6
57,정근우,한화,1.64,2.9,70000,6
61,가르시아,LG,1.53,0.32,80000,6
62,스크럭스,NC,1.4,2.57,70000,6
64,박용택,LG,1.38,2.63,80000,6
80,박석민,NC,0.91,1.51,75000,6
238,윤성환,삼성,-0.55,-3.55,80000,6
263,파레디스,두산,-0.73,-0.65,70000,6
1,린드블럼,두산,6.76,2.06,135000,7
4,김광현,SK,5.24,1.91,140000,7
6,소사,LG,4.91,0.16,120000,7
10,켈리,SK,3.86,-0.45,140000,7
20,레일리,롯데,2.92,-1.94,111000,7
35,정우람,한화,2.01,1.45,120000,7
36,로저스,넥센,1.97,0.07,125000,7
73,차우찬,LG,0.78,-2.45,100000,7
158,윤석민,기아,0.02,-2.9,125000,7
259,장원준,두산,-2.22,-3.12,100000,7
259,장원준,두산,-2.22,-3.12,100000,7
10,김현수,LG,4.79,4.23,140000,7
25,최정,SK,3.52,2.5,120000,7
28,황재균,KT,3.45,1.96,120000,7
33,민병헌,롯데,3.05,1.13,100000,7
5,양현종,기아,5.17,-1.06,230000,8
19,헥터,KIA,2.92,-1.24,170000,8
2,박병호,넥센,6.59,6.44,150000,8
6,손아섭,롯데,5.3,4.35,150000,8
9,최형우,기아,4.95,5.7,150000,8
18,이대호,롯데,3.84,4.34,250000,8
100,김태균,한화,0.47,1.53,160000,8